Ensemble Type,RMSE,MAPE,Models used,Training Time (s)
Stacking,4703.04,0.2046,KNN + LightGBM + GBM + XGBoost,13.42
Stacking,4714.73,0.2047,KNN + SVR + LightGBM + RandomForest + GBM,34.1
Stacking,4743.79,0.2049,KNN + SVR + LightGBM + RandomForest,31.53
Stacking,4731.71,0.205,LightGBM + GBM + XGBoost,8.5
Averaging,4692.1,0.205,LightGBM + RandomForest + GBM + XGBoost,0.11
Stacking,4745.81,0.205,KNN + DecisionTree + SVR + RandomForest,31.27
Stacking,4748.56,0.2051,KNN + SVR + RandomForest,30.71
Stacking,4751.86,0.2052,KNN + DecisionTree + SVR + LightGBM + XGBoost,28.35
Stacking,4738.78,0.2053,DecisionTree + SVR + RandomForest,27.78
Stacking,4740.26,0.2053,KNN + DecisionTree + LightGBM + GBM + XGBoost,13.2
Stacking,4748.06,0.2053,KNN + SVR + GBM,24.39
Stacking,4754.65,0.2054,KNN + LightGBM + RandomForest,13.47
Stacking,4754.62,0.2055,DecisionTree + SVR + LightGBM + XGBoost,24.16
Stacking,4744.73,0.2055,SVR + LightGBM + GBM + XGBoost,26.25
Stacking,4767.9,0.2055,KNN + DecisionTree + RandomForest,13.49
Stacking,4733.16,0.2055,KNN + DecisionTree + LightGBM + GBM,7.39
Stacking,4755.39,0.2056,KNN + SVR + LightGBM + XGBoost,28.74
Averaging,4712.11,0.2058,LightGBM + RandomForest + XGBoost,0.1
Stacking,4757.95,0.2058,SVR + LightGBM + XGBoost,23.74
Stacking,4758.52,0.2059,KNN + DecisionTree + LightGBM + XGBoost,10.98
Stacking,4761.04,0.206,KNN + LightGBM + XGBoost,10.4
Averaging,4736.51,0.2061,SVR + RandomForest + GBM + XGBoost,0.38
Stacking,4745.38,0.2061,KNN + LightGBM + GBM,7.13
Stacking,4766.08,0.2065,DecisionTree + LightGBM + XGBoost,6.79
Averaging,4769.06,0.2066,SVR + GBM + XGBoost,0.33
Averaging,4732.28,0.2067,LightGBM + GBM + XGBoost,0.04
Stacking,4741.59,0.2068,DecisionTree + SVR + GBM,20.88
Averaging,4739.84,0.207,SVR + LightGBM + RandomForest + GBM + XGBoost,0.4
Stacking,4759.34,0.207,KNN + DecisionTree + GBM,7.12
Stacking,4764.23,0.2072,KNN + DecisionTree + SVR + GBM,25.75
Stacking,4779.12,0.2076,KNN + SVR + LightGBM + GBM,25.23
Averaging,4776.11,0.2076,SVR + RandomForest + XGBoost,0.37
Averaging,4769.58,0.2079,SVR + LightGBM + RandomForest + XGBoost,0.39
Stacking,4780.67,0.2079,SVR + LightGBM + GBM,20.49
