,House Type,House Age,Furniture,Bathroom Count,Hand,Heater Type,Heater Fuel,Price,Rooms,Living Rooms,House Size m2,Floor Level,Neighborhood Grouped,Town Grouped,City Grouped
868,Daire,0,False,1.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,16500,1,1,60.0,10.0,Other,Ankara - Yenimahalle,Ankara
869,Daire,1,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,32000,2,1,104.0,8.0,Ankara - Keçiören - Ayvalı,Ankara - Keçiören,Ankara
870,Daire,38,True,1.0,İkinci El,Merkezi,Doğalgaz,25000,2,1,100.0,0.5,Other,Ankara - Çankaya,Ankara
871,Daire,8,False,2.0,İkinci El,Kombi,Doğalgaz,35000,3,1,150.0,2.0,Other,Other,Çanakkale
872,Daire,6,True,1.0,İkinci El,Kombi,Doğalgaz,13000,1,1,65.0,5.0,Other,Samsun - Atakum,Samsun
873,Daire,6,False,2.0,İkinci El,Kombi,Doğalgaz,30000,4,1,160.0,4.0,Other,Eskişehir - Odunpazarı,Eskişehir
874,Daire,14,False,1.0,İkinci El,Kombi,Doğalgaz,15000,3,1,140.0,2.0,Other,Ankara - Etimesgut,Ankara
875,Daire,40,False,2.0,İkinci El,Merkezi,Bilinmiyor,75000,3,1,160.0,5.0,Other,İstanbul - Şişli,İstanbul
877,Daire,18,True,1.0,İkinci El,Kombi,Doğalgaz,20000,3,1,145.0,3.0,Other,Ankara - Keçiören,Ankara
878,Daire,3,False,1.0,İkinci El,Kombi,Doğalgaz,31000,2,1,100.0,20.0,Other,İzmir - Karşıyaka,İzmir
879,Daire,30,True,1.0,İkinci El,Kombi,Doğalgaz,25000,3,1,125.0,2.0,Other,Ankara - Çankaya,Ankara
880,Daire,6,True,2.0,İkinci El,Klima,Bilinmiyor,800000,3,1,185.0,-2.0,Muğla - Bodrum - Gündoğan,Muğla - Bodrum,Muğla
881,Daire,17,False,1.0,İkinci El,Klima,Elektrik,15000,3,1,190.0,-1.0,Other,Antalya - Kepez,Antalya
882,Daire,35,False,1.0,İkinci El,Kombi,Doğalgaz,15000,2,1,80.0,4.0,Other,İzmir - Bornova,İzmir
883,Daire,27,False,2.0,İkinci El,Kombi,Doğalgaz,35000,3,1,150.0,4.0,Other,İstanbul - Sarıyer,İstanbul
884,Daire,0,False,2.0,Sıfır,Kombi,Doğalgaz,42000,3,1,150.0,20.0,Other,Ankara - Çankaya,Ankara
885,Daire,11,False,1.0,İkinci El,Kombi,Doğalgaz,15000,3,1,120.0,2.0,Other,Ankara - Mamak,Ankara
886,Daire,15,False,1.0,İkinci El,Kombi,Doğalgaz,14000,3,1,150.0,2.5,Other,Tekirdağ - Süleymanpaşa,Tekirdağ
887,Daire,0,False,1.0,Sıfır,Klima,Elektrik,17500,3,1,130.0,2.5,Other,Aydın - Didim,Aydın
888,Daire,14,True,1.0,İkinci El,Kombi,Doğalgaz,10000,1,1,90.0,0.0,Other,Other,Sinop
889,Daire,23,False,2.0,İkinci El,Kombi,Doğalgaz,76000,4,1,210.0,5.0,Other,İstanbul - Kadıköy,İstanbul
890,Daire,6,True,1.0,İkinci El,Kombi,Doğalgaz,17500,1,1,70.0,3.0,Other,Adana - Seyhan,Adana
891,Daire,6,True,1.0,İkinci El,Kombi,Doğalgaz,14000,1,1,45.0,2.0,Other,Muğla - Menteşe,Muğla
892,Daire,3,False,1.0,İkinci El,Klima,Elektrik,20000,2,1,80.0,3.0,Other,Aydın - Didim,Aydın
893,Villa,5,True,2.0,İkinci El,Klima,Elektrik,35000,3,1,200.0,1.5,Other,Muğla - Milas,Muğla
894,Daire,40,False,1.0,İkinci El,Merkezi,Doğalgaz,30000,2,1,90.0,6.0,Other,İzmir - Konak,İzmir
895,Villa,35,False,4.0,İkinci El,Kombi,Doğalgaz,483000,5,2,550.0,2.5,Other,İstanbul - Sarıyer,İstanbul
896,Daire,25,True,2.0,İkinci El,Isıtma Yok,Elektrik,185000,3,1,220.0,9.0,Other,Mersin(İçel) - Erdemli,Mersin(İçel)
897,Daire,38,False,1.0,İkinci El,Merkezi,Doğalgaz,40000,2,1,130.0,0.5,Other,İstanbul - Beşiktaş,İstanbul
898,Villa,14,False,2.0,İkinci El,Klima,Elektrik,38000,3,1,290.0,2.5,Other,Aydın - Kuşadası,Aydın
899,Daire,0,False,1.0,Sıfır,Kombi,Doğalgaz,12000,1,1,64.0,3.0,Other,Tekirdağ - Çorlu,Tekirdağ
900,Daire,40,False,1.0,İkinci El,Kombi,Doğalgaz,25000,3,1,90.0,0.5,Ankara - Çankaya - Emek,Ankara - Çankaya,Ankara
901,Villa,25,False,4.0,İkinci El,Kombi,Doğalgaz,330000,5,2,800.0,2.5,Other,İstanbul - Üsküdar,İstanbul
902,Daire,50,False,1.0,İkinci El,Kombi,Doğalgaz,20000,2,1,80.0,4.0,Other,İstanbul - Şişli,İstanbul
903,Daire,12,False,1.0,İkinci El,Isıtma Yok,Elektrik,12000,1,1,55.0,0.5,Other,Antalya - Muratpaşa,Antalya
904,Daire,28,True,2.0,İkinci El,Merkezi,Doğalgaz,32500,4,1,160.0,5.0,Ankara - Çankaya - Birlik,Ankara - Çankaya,Ankara
905,Daire,10,True,1.0,İkinci El,Klima,Elektrik,4500,2,1,140.0,2.5,Other,Aydın - Didim,Aydın
906,Daire,35,False,1.0,İkinci El,Kombi,Doğalgaz,20500,3,1,118.0,2.5,Other,Ankara - Keçiören,Ankara
907,Daire,20,False,3.0,İkinci El,Kombi,Doğalgaz,65000,4,1,220.0,3.0,Other,İstanbul - Beykoz,İstanbul
908,Daire,24,False,1.0,İkinci El,Kombi,Doğalgaz,30000,2,1,120.0,2.5,Other,İstanbul - Üsküdar,İstanbul
909,Daire,27,False,2.0,İkinci El,Kombi,Doğalgaz,32000,3,1,165.0,1.0,Other,İstanbul - Sarıyer,İstanbul
910,Daire,25,False,1.0,İkinci El,Kombi,Doğalgaz,14000,2,1,100.0,1.0,Ankara - Keçiören - Aşağı Eğlence,Ankara - Keçiören,Ankara
911,Daire,35,False,1.0,İkinci El,Merkezi,Doğalgaz,20000,4,1,125.0,0.0,Other,Ankara - Çankaya,Ankara
912,Daire,15,False,1.0,İkinci El,Klima,Elektrik,25000,2,1,85.0,1.0,Other,Muğla - Bodrum,Muğla
913,Daire,35,True,1.0,İkinci El,Kombi,Doğalgaz,37500,3,1,140.0,0.5,Other,İstanbul - Beşiktaş,İstanbul
914,Daire,12,True,1.0,İkinci El,Kombi,Doğalgaz,24000,2,1,75.0,6.0,Other,İstanbul - Sarıyer,İstanbul
915,Daire,20,True,1.0,İkinci El,Kombi,Doğalgaz,15000,2,1,95.0,2.0,Other,Ankara - Mamak,Ankara
916,Daire,15,False,1.0,İkinci El,Isıtma Yok,Elektrik,15000,1,1,65.0,0.0,Other,Mersin(İçel) - Yenişehir,Mersin(İçel)
918,Daire,35,True,1.0,İkinci El,Merkezi,Doğalgaz,12000,2,1,95.0,0.5,Other,Eskişehir - Odunpazarı,Eskişehir
919,Daire,30,False,1.0,İkinci El,Kombi,Doğalgaz,14500,3,1,118.0,1.0,Other,Ankara - Keçiören,Ankara
920,Daire,15,True,1.0,İkinci El,Kombi,Doğalgaz,12000,2,1,125.0,0.5,Other,Other,Sinop
921,Daire,18,False,1.0,İkinci El,Kombi,Doğalgaz,24900,3,1,120.0,3.0,Other,Ankara - Çankaya,Ankara
922,Daire,0,True,1.0,Sıfır,Yerden Isıtma,Doğalgaz,8500,1,1,50.0,0.0,Other,Denizli - Pamukkale,Denizli
923,Daire,35,False,1.0,İkinci El,Kombi,Doğalgaz,13000,3,1,110.0,1.0,Other,Ankara - Keçiören,Ankara
924,Daire,0,True,1.0,Sıfır,Yerden Isıtma,Doğalgaz,12000,1,0,45.0,0.0,Other,Other,Ankara
925,Müstakil Ev,22,False,2.0,İkinci El,Kombi,Doğalgaz,25000,5,1,210.0,2.5,Other,Ankara - Yenimahalle,Ankara
926,Residence,9,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,28000,1,1,80.0,5.0,Other,İstanbul - Eyüpsultan,İstanbul
927,Daire,34,False,1.0,İkinci El,Kombi,Doğalgaz,17000,2,1,110.0,4.0,Other,İstanbul - Bahçelievler,İstanbul
928,Daire,42,False,1.0,İkinci El,Klima,Elektrik,15500,3,1,140.0,1.0,Other,Antalya - Muratpaşa,Antalya
929,Daire,25,False,1.0,İkinci El,Merkezi,Doğalgaz,35000,3,1,140.0,2.0,Ankara - Çankaya - Emek,Ankara - Çankaya,Ankara
931,Daire,4,False,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,15250,1,1,58.0,4.0,Other,Ankara - Yenimahalle,Ankara
932,Daire,40,False,1.0,İkinci El,Kombi,Doğalgaz,20000,1,1,75.0,1.0,Other,İstanbul - Beşiktaş,İstanbul
933,Daire,25,True,1.0,İkinci El,Kombi,Doğalgaz,20000,3,1,100.0,0.0,Ankara - Keçiören - Ayvalı,Ankara - Keçiören,Ankara
934,Villa,3,False,4.0,İkinci El,Klima,Elektrik,300000,4,1,220.0,2.5,İzmir - Çeşme - Alaçatı,İzmir - Çeşme,İzmir
935,Daire,12,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,13500,4,1,190.0,-1.0,Other,Ankara - Etimesgut,Ankara
936,Daire,30,True,2.0,Sıfır,Kombi,Doğalgaz,110000,3,1,200.0,4.0,Other,İstanbul - Beşiktaş,İstanbul
937,Daire,27,False,1.0,İkinci El,Kombi,Doğalgaz,14000,2,1,100.0,4.0,Other,İzmir - Karşıyaka,İzmir
939,Daire,18,True,1.0,İkinci El,Kombi,Doğalgaz,20500,3,1,176.0,20.0,Other,Other,Diyarbakır
940,Daire,7,True,3.0,İkinci El,Kombi,Doğalgaz,65000,4,1,215.0,4.0,Other,İstanbul - Üsküdar,İstanbul
942,Daire,1,False,1.0,Sıfır,Kombi,Doğalgaz,15000,1,1,70.0,5.0,Other,Balıkesir - Burhaniye,Balıkesir
943,Daire,15,False,2.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,20000,3,1,135.0,13.0,Other,İstanbul - Beylikdüzü,İstanbul
944,Daire,25,False,1.0,İkinci El,Isıtma Yok,Elektrik,12500,3,1,165.0,8.0,Adana - Çukurova - Huzurevleri,Adana - Çukurova,Adana
945,Daire,6,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,36000,2,1,105.0,2.0,Other,İzmir - Çiğli,İzmir
946,Daire,2,True,1.0,İkinci El,Klima,Elektrik,20000,1,1,45.0,1.0,Other,İzmir - Urla,İzmir
947,Daire,26,False,1.0,İkinci El,Kombi,Doğalgaz,25000,3,1,110.0,1.0,Other,İstanbul - Üsküdar,İstanbul
948,Daire,25,False,2.0,İkinci El,Kombi,Doğalgaz,170000,4,1,210.0,4.0,Other,Adana - Çukurova,Adana
949,Müstakil Ev,20,False,3.0,İkinci El,Kombi,Doğalgaz,160000,4,2,380.0,2.5,Other,İstanbul - Üsküdar,İstanbul
950,Residence,2,True,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,40000,3,1,126.0,20.0,Other,İstanbul - Beylikdüzü,İstanbul
951,Daire,28,True,1.0,İkinci El,Merkezi,Doğalgaz,23500,3,1,130.0,0.0,Other,Ankara - Çankaya,Ankara
953,Daire,25,False,1.0,İkinci El,Kombi,Doğalgaz,6000,2,1,100.0,0.5,Other,Balıkesir - Bandırma,Balıkesir
954,Daire,28,False,1.0,İkinci El,Kombi,Doğalgaz,16500,2,1,85.0,2.0,Other,İstanbul - Zeytinburnu,İstanbul
955,Daire,17,False,3.0,İkinci El,Kombi,Doğalgaz,30000,5,1,310.0,3.0,Ankara - Çankaya - Kırkkonaklar,Ankara - Çankaya,Ankara
956,Daire,22,True,1.0,İkinci El,Kombi,Doğalgaz,22000,2,1,90.0,20.0,Other,İzmir - Balçova,İzmir
957,Daire,8,False,1.0,İkinci El,Kombi,Doğalgaz,10000,2,1,70.0,0.5,Other,İstanbul - Esenyurt,İstanbul
958,Daire,0,False,2.0,Sıfır,Kombi,Doğalgaz,20000,3,1,170.0,1.0,Other,Samsun - Atakum,Samsun
959,Daire,0,False,2.0,Sıfır,Kombi,Doğalgaz,20000,3,1,170.0,1.0,Other,Samsun - Atakum,Samsun
960,Daire,15,True,1.0,İkinci El,Klima,Elektrik,35000,2,1,90.0,20.0,Other,Muğla - Bodrum,Muğla
961,Daire,9,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,15300,1,1,65.0,3.0,Other,Ankara - Etimesgut,Ankara
962,Daire,45,True,2.0,İkinci El,Kombi,Doğalgaz,65000,3,1,150.0,1.0,Other,İstanbul - Beyoğlu,İstanbul
963,Daire,15,True,2.0,İkinci El,Klima,Elektrik,50000,2,1,95.0,0.0,Other,Antalya - Muratpaşa,Antalya
964,Daire,20,False,1.0,İkinci El,Kombi,Doğalgaz,16000,2,1,80.0,2.0,Other,İzmir - Bornova,İzmir
965,Daire,7,True,1.0,İkinci El,Klima,Elektrik,23000,1,1,80.0,2.5,Other,Antalya - Konyaaltı,Antalya
966,Daire,1,False,2.0,Sıfır,Kombi,Doğalgaz,20000,3,1,110.0,2.0,Other,İzmir - Karabağlar,İzmir
967,Daire,30,False,1.0,İkinci El,Kombi,Doğalgaz,12000,3,1,120.0,3.0,Other,Ankara - Keçiören,Ankara
968,Daire,40,False,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,29000,3,1,133.0,2.0,Other,İzmir - Konak,İzmir
969,Daire,26,False,1.0,İkinci El,Merkezi,Doğalgaz,27000,2,1,90.0,0.5,Other,İstanbul - Maltepe,İstanbul
970,Daire,0,False,1.0,Sıfır,Yerden Isıtma,Doğalgaz,45000,2,1,85.0,2.0,İstanbul - Şişli - Mecidiyeköy,İstanbul - Şişli,İstanbul
971,Daire,8,False,1.0,Sıfır,Kombi,Doğalgaz,20000,1,0,50.0,20.0,Other,İstanbul - Şişli,İstanbul
972,Daire,1,False,2.0,İkinci El,Kombi,Doğalgaz,18000,3,1,125.0,20.0,Other,Other,Zonguldak
973,Daire,20,False,1.0,İkinci El,Kombi,Doğalgaz,11250,3,1,115.0,2.0,Other,Ankara - Sincan,Ankara
974,Daire,10,False,1.0,İkinci El,Klima,Elektrik,20000,3,1,110.0,2.5,Other,Aydın - Kuşadası,Aydın
975,Daire,8,False,2.0,İkinci El,Kombi,Doğalgaz,27000,3,1,140.0,0.5,Other,İstanbul - Üsküdar,İstanbul
977,Daire,25,False,1.0,İkinci El,Kombi,Doğalgaz,19000,3,1,120.0,2.0,Other,Ankara - Çankaya,Ankara
978,Daire,35,False,1.0,İkinci El,Kombi,Doğalgaz,23000,3,1,125.0,4.0,İstanbul - Bahçelievler - Bahçelievler,İstanbul - Bahçelievler,İstanbul
979,Daire,35,False,1.0,İkinci El,Kombi,Doğalgaz,23000,3,1,125.0,4.0,İstanbul - Bahçelievler - Bahçelievler,İstanbul - Bahçelievler,İstanbul
980,Yazlık,8,True,1.0,İkinci El,Klima,Bilinmiyor,450000,2,1,110.0,1.0,Other,Muğla - Bodrum,Muğla
981,Daire,25,True,1.0,İkinci El,Kombi,Doğalgaz,21000,3,1,115.0,1.0,Ankara - Çankaya - Harbiye,Ankara - Çankaya,Ankara
982,Daire,0,False,2.0,Sıfır,Kombi,Doğalgaz,40000,4,2,180.0,5.0,İstanbul - Bahçelievler - Siyavuşpaşa,İstanbul - Bahçelievler,İstanbul
983,Daire,20,False,1.0,İkinci El,Kombi,Doğalgaz,15500,2,1,145.0,3.0,Other,Tokat - Merkez,Tokat
984,Daire,30,False,1.0,İkinci El,Kombi,Doğalgaz,30500,3,1,120.0,2.0,Other,Ankara - Çankaya,Ankara
985,Daire,40,False,1.0,İkinci El,Kombi,Doğalgaz,20000,2,1,150.0,4.0,Other,Other,Bursa
986,Daire,35,True,1.0,İkinci El,Kombi,Doğalgaz,17000,2,1,95.0,20.0,Ankara - Altındağ - Aydınlıkevler,Ankara - Altındağ,Ankara
987,Daire,5,False,1.0,Sıfır,Kombi,Doğalgaz,255000,2,1,110.0,8.0,Other,Adana - Seyhan,Adana
988,Daire,25,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,120000,3,1,200.0,1.0,Other,İstanbul - Sarıyer,İstanbul
989,Daire,30,True,1.0,İkinci El,Kombi,Doğalgaz,22000,1,1,80.0,0.0,Other,İzmir - Konak,İzmir
990,Daire,2,False,1.0,İkinci El,Kombi,Doğalgaz,22000,2,1,85.0,3.0,Other,Muğla - Menteşe,Muğla
991,Residence,10,False,2.0,İkinci El,Merkezi,Doğalgaz,50000,3,1,150.0,5.0,Other,İstanbul - Kağıthane,İstanbul
992,Daire,1,True,1.0,İkinci El,Kombi,Doğalgaz,22000,1,1,70.0,2.0,Other,Ankara - Çankaya,Ankara
993,Daire,40,True,1.0,İkinci El,Kombi,Doğalgaz,28000,1,1,65.0,0.0,Other,İstanbul - Beyoğlu,İstanbul
994,Daire,35,True,1.0,İkinci El,Kombi,Doğalgaz,16000,2,1,95.0,2.0,Other,Ankara - Mamak,Ankara
995,Daire,31,False,1.0,İkinci El,Merkezi (Pay Ölçer),Bilinmiyor,25000,3,1,120.0,3.0,Other,İzmir - Karşıyaka,İzmir
996,Daire,30,False,1.0,İkinci El,Kombi,Doğalgaz,13000,3,1,140.0,1.0,Other,İstanbul - Pendik,İstanbul
997,Daire,23,False,2.0,İkinci El,Merkezi,Doğalgaz,23000,5,1,180.0,0.0,Other,Ankara - Çankaya,Ankara
998,Daire,42,False,1.0,İkinci El,Merkezi,Doğalgaz,50000,3,1,125.0,4.0,Other,İstanbul - Şişli,İstanbul
999,Daire,42,False,1.0,İkinci El,Merkezi,Doğalgaz,50000,3,1,125.0,4.0,Other,İstanbul - Şişli,İstanbul
1001,Daire,0,False,2.0,Sıfır,Kombi,Doğalgaz,53000,3,1,150.0,2.0,İstanbul - Bahçelievler - Bahçelievler,İstanbul - Bahçelievler,İstanbul
1002,Daire,0,False,1.0,Sıfır,Kombi,Doğalgaz,8000,1,1,50.0,2.5,Other,Other,Ankara
1003,Daire,25,True,1.0,İkinci El,Kombi,Doğalgaz,16000,3,1,120.0,0.0,Other,Ankara - Çankaya,Ankara
1004,Daire,25,True,1.0,İkinci El,Kombi,Doğalgaz,20000,3,1,125.0,2.5,Other,Ankara - Sincan,Ankara
1006,Daire,25,False,1.0,İkinci El,Kombi,Doğalgaz,15750,3,1,120.0,2.0,Other,Zonguldak - Merkez,Zonguldak
1007,Daire,20,False,1.0,İkinci El,Kombi,Doğalgaz,19000,3,1,120.0,8.0,Other,Ankara - Etimesgut,Ankara
1008,Daire,20,True,1.0,İkinci El,Kombi,Doğalgaz,19000,3,1,115.0,1.0,Ankara - Çankaya - Harbiye,Ankara - Çankaya,Ankara
1009,Daire,5,False,1.0,İkinci El,Kombi,Doğalgaz,13000,2,1,70.0,-2.0,Other,İstanbul - Eyüpsultan,İstanbul
1010,Daire,2,True,1.0,İkinci El,Kombi,Doğalgaz,8000,1,1,60.0,20.0,Other,Other,Other
1011,Daire,5,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,50000,3,1,165.0,21.0,Other,Ankara - Çankaya,Ankara
1012,Daire,1,False,1.0,Sıfır,Isıtma Yok,Doğalgaz,160000,3,1,135.0,0.0,Other,Other,Hatay
1013,Daire,0,False,1.0,Sıfır,Klima,Elektrik,17000,2,1,120.0,2.0,Other,Antalya - Alanya,Antalya
1014,Daire,10,False,2.0,İkinci El,Kombi,Doğalgaz,10000,2,1,140.0,-2.0,Other,Bursa - Nilüfer,Bursa
1015,Daire,30,False,1.0,İkinci El,Kombi,Bilinmiyor,17000,2,1,90.0,0.0,Other,İstanbul - Bakırköy,İstanbul
1016,Residence,10,True,3.0,İkinci El,Merkezi,Doğalgaz,120000,2,1,144.0,21.0,İstanbul - Sarıyer - Maslak,İstanbul - Sarıyer,İstanbul
1017,Daire,16,False,1.0,İkinci El,Kombi,Doğalgaz,17500,2,1,80.0,1.0,İstanbul - Şişli - Mecidiyeköy,İstanbul - Şişli,İstanbul
1018,Daire,9,False,1.0,İkinci El,Kombi,Bilinmiyor,7000,1,1,55.0,1.0,Other,Eskişehir - Tepebaşı,Eskişehir
1019,Daire,29,False,2.0,İkinci El,Merkezi (Pay Ölçer),Bilinmiyor,75000,3,1,135.0,0.0,İstanbul - Beşiktaş - Levazım,İstanbul - Beşiktaş,İstanbul
1020,Müstakil Ev,25,False,1.0,İkinci El,Klima,Elektrik,85000,3,1,180.0,2.5,Other,Adana - Seyhan,Adana
1021,Daire,42,True,1.0,İkinci El,Kombi,Doğalgaz,8500,1,1,65.0,0.5,İstanbul - Fatih - Seyyid Ömer,İstanbul - Fatih,İstanbul
1022,Daire,9,False,1.0,İkinci El,Kombi,Doğalgaz,16500,1,1,85.0,3.0,Other,İstanbul - Beylikdüzü,İstanbul
1023,Daire,0,False,3.0,İkinci El,Yerden Isıtma,Bilinmiyor,25000,3,1,140.0,2.0,Other,Hatay - İskenderun,Hatay
1024,Daire,4,True,1.0,İkinci El,Kombi,Doğalgaz,13000,1,1,60.0,20.0,Other,Zonguldak - Merkez,Zonguldak
1025,Villa,24,False,1.0,İkinci El,Klima,Elektrik,25000,3,1,165.0,2.5,Other,Other,İzmir
1026,Daire,10,False,2.0,İkinci El,Kombi,Doğalgaz,50000,2,1,90.0,5.0,Other,İstanbul - Beyoğlu,İstanbul
1027,Daire,55,True,1.0,İkinci El,Merkezi,Doğalgaz,14900,3,1,100.0,-1.0,Other,Ankara - Çankaya,Ankara
1028,Daire,5,True,2.0,İkinci El,Klima,Elektrik,90000,2,1,100.0,2.0,Other,Muğla - Bodrum,Muğla
1029,Daire,8,False,1.0,Sıfır,Klima,Elektrik,12000,2,1,100.0,2.0,Other,Antalya - Alanya,Antalya
1030,Daire,25,False,1.0,İkinci El,Kombi,Doğalgaz,15000,2,1,115.0,2.0,Other,Balıkesir - Bandırma,Balıkesir
1031,Daire,0,False,2.0,Sıfır,Kombi,Bilinmiyor,26000,4,1,110.0,20.0,Other,Ankara - Gölbaşı,Ankara
1032,Daire,0,False,1.0,Sıfır,Kombi,Doğalgaz,20000,2,1,105.0,2.5,Other,Edirne - Merkez,Edirne
1033,Daire,15,True,1.0,İkinci El,Klima,Elektrik,14000,3,1,100.0,3.0,Other,İzmir - Menemen,İzmir
1034,Daire,31,False,1.0,İkinci El,Kombi,Bilinmiyor,17500,3,1,110.0,3.0,Ankara - Keçiören - Etlik,Ankara - Keçiören,Ankara
1035,Daire,16,False,1.0,İkinci El,Kombi,Bilinmiyor,25000,3,1,140.0,1.0,Other,İstanbul - Tuzla,İstanbul
1036,Daire,6,False,2.0,İkinci El,Kombi,Doğalgaz,20000,3,1,230.0,11.0,Other,Mersin(İçel) - Mezitli,Mersin(İçel)
1037,Daire,11,False,1.0,İkinci El,Kombi,Bilinmiyor,27500,1,1,78.0,11.0,Other,Other,İstanbul
1038,Daire,1,True,1.0,Sıfır,Klima,Elektrik,12000,1,1,60.0,14.0,Adana - Sarıçam - Gültepe,Adana - Sarıçam,Adana
1039,Daire,15,False,2.0,İkinci El,Kombi,Doğalgaz,20000,3,1,125.0,7.0,Other,Ankara - Mamak,Ankara
1040,Daire,1,True,1.0,Sıfır,Klima,Elektrik,12000,1,1,60.0,14.0,Adana - Sarıçam - Gültepe,Adana - Sarıçam,Adana
1041,Daire,40,False,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,20000,3,1,135.0,2.0,Other,Ankara - Çankaya,Ankara
1042,Daire,15,True,1.0,İkinci El,Klima,Elektrik,15000,2,1,100.0,1.0,Other,Antalya - Muratpaşa,Antalya
1043,Daire,7,False,2.0,İkinci El,Kombi,Doğalgaz,28000,4,1,200.0,5.0,Ankara - Keçiören - Etlik,Ankara - Keçiören,Ankara
1044,Daire,0,True,2.0,İkinci El,Merkezi (Pay Ölçer),Bilinmiyor,38000,2,1,125.0,15.0,Other,Ankara - Çankaya,Ankara
1045,Daire,20,False,1.0,İkinci El,Kombi,Doğalgaz,23000,3,1,130.0,3.0,Ankara - Keçiören - Aşağı Eğlence,Ankara - Keçiören,Ankara
1046,Daire,4,False,1.0,İkinci El,Kombi,Doğalgaz,17000,2,1,102.0,5.0,Other,Bursa - Nilüfer,Bursa
1047,Daire,26,False,1.0,İkinci El,Kombi,Doğalgaz,13500,1,1,90.0,0.0,Other,İstanbul - Kartal,İstanbul
1048,Daire,8,False,1.0,İkinci El,Kombi,Bilinmiyor,17500,2,1,90.0,-2.0,Other,İstanbul - Maltepe,İstanbul
1049,Daire,25,False,1.0,İkinci El,Klima,Elektrik,13000,3,1,145.0,2.5,Adana - Çukurova - Yurt,Adana - Çukurova,Adana
1050,Daire,25,True,1.0,İkinci El,Kombi,Doğalgaz,16500,2,1,110.0,0.5,Ankara - Keçiören - Etlik,Ankara - Keçiören,Ankara
1051,Daire,20,True,1.0,İkinci El,Kombi,Doğalgaz,10000,1,1,75.0,2.5,Other,Other,Sinop
1052,Daire,7,False,2.0,İkinci El,Kombi,Doğalgaz,21000,4,1,165.0,2.0,Other,Ankara - Keçiören,Ankara
1054,Daire,1,False,1.0,Sıfır,Kombi,Doğalgaz,7000,1,1,70.0,2.0,Other,Samsun - Atakum,Samsun
1055,Daire,1,False,1.0,Sıfır,Merkezi,Doğalgaz,17000,3,1,150.0,3.0,Other,Other,Hatay
1056,Daire,3,False,1.0,İkinci El,Klima,Elektrik,12250,1,1,55.0,3.0,Antalya - Alanya - Mahmutlar,Antalya - Alanya,Antalya
1057,Daire,15,False,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,13500,3,1,120.0,0.5,Other,Ankara - Altındağ,Ankara
1058,Müstakil Ev,13,True,1.0,İkinci El,Klima,Elektrik,75000,2,1,150.0,2.5,Other,Muğla - Bodrum,Muğla
1059,Daire,1,False,1.0,Sıfır,Kombi,Doğalgaz,17000,2,1,130.0,6.0,Other,Zonguldak - Merkez,Zonguldak
1060,Daire,31,False,2.0,İkinci El,Kombi,Doğalgaz,24000,2,1,120.0,1.0,Other,İstanbul - Maltepe,İstanbul
1061,Daire,4,False,2.0,İkinci El,Kombi,Doğalgaz,12500,4,1,140.0,17.0,Other,Adana - Sarıçam,Adana
1062,Daire,8,False,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,14000,2,1,110.0,1.0,Other,İstanbul - Esenyurt,İstanbul
1063,Residence,11,True,2.0,İkinci El,Merkezi (Pay Ölçer),Bilinmiyor,105000,5,1,340.0,21.0,Other,Ankara - Çankaya,Ankara
1064,Daire,20,False,1.0,İkinci El,Kombi,Doğalgaz,22500,3,1,135.0,2.0,Other,Ankara - Etimesgut,Ankara
1065,Villa,13,False,3.0,İkinci El,Kombi,Doğalgaz,160000,4,1,330.0,2.5,İstanbul - Sarıyer - Zekeriyaköy,İstanbul - Sarıyer,İstanbul
1066,Daire,16,True,1.0,İkinci El,Klima,Elektrik,25000,2,1,90.0,2.0,Other,Aydın - Kuşadası,Aydın
1067,Villa,1,True,2.0,İkinci El,Klima,Elektrik,350000,3,1,200.0,2.5,Muğla - Bodrum - Yalıkavak,Muğla - Bodrum,Muğla
1068,Daire,8,False,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,10500,2,1,84.0,7.0,Other,Other,İstanbul
1069,Daire,25,False,1.0,İkinci El,Kombi,Doğalgaz,13500,3,1,130.0,-1.0,Other,Ankara - Çankaya,Ankara
1070,Daire,12,True,1.0,İkinci El,Klima,Elektrik,15000,2,1,90.0,0.5,Other,Antalya - Muratpaşa,Antalya
